b'-BEGIN HEADER-\r
NASA/POWER Source Native Resolution Hourly Data \r
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST\r
Location: Latitude  47.99   Longitude 139.53 \r
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 287.71 meters\r
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 \r
Parameter(s): \r
ALLSKY_SRF_ALB         CERES SYN1deg All Sky Surface Albedo (dimensionless) \r
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (Wh/m^2) \r
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) \r
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) \r
T2M                    MERRA-2 Temperature at 2 Meters (C) \r
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) \r
-END HEADER-\r
YEAR,MO,DY,HR,ALLSKY_SRF_ALB,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DWN,T2M,WS10M
2023,1,5,20,-999.0,0.0,0.0,0.0,-14.14,4.57
2023,1,5,21,-999.0,0.0,0.0,0.0,-14.35,4.5
2023,1,5,22,-999.0,0.0,0.0,0.0,-14.36,4.52
2023,1,5,23,-999.0,0.0,0.0,0.0,-13.82,4.42
2023,1,6,0,-999.0,0.0,0.0,0.0,-13.76,4.13
2023,1,6,1,-999.0,0.0,0.0,0.0,-14.02,3.9
2023,1,6,2,-999.0,0.0,0.0,0.0,-14.27,3.71
2023,1,6,3,-999.0,0.0,0.0,0.0,-14.44,3.49
2023,1,6,4,-999.0,0.0,0.0,0.0,-14.52,3.09
2023,1,6,5,-999.0,0.0,0.0,0.0,-14.57,2.7
2023,1,6,6,-999.0,0.0,0.0,0.0,-14.43,2.36
2023,1,6,7,-999.0,0.0,0.0,0.0,-14.19,2.06
2023,1,6,8,0.14,41.71,338.65,80.15,-13.58,1.86
2023,1,6,9,0.13,57.84,608.32,171.62,-12.52,1.58
2023,1,6,10,0.17,83.57,706.92,279.4,-11.51,1.32
2023,1,6,11,0.14,98.65,632.63,320.95,-10.57,1.22
2023,1,6,12,0.16,76.77,743.62,321.83,-10.1,1.18
2023,1,6,13,0.14,85.79,624.09,261.38,-10.09,1.33
2023,1,6,14,0.13,80.13,413.79,157.8,-10.46,1.45
2023,1,6,15,0.15,28.23,248.18,48.5,-11.89,1.93
2023,1,6,16,-999.0,0.0,0.0,0.0,-13.75,2.79
2023,1,6,17,-999.0,0.0,0.0,0.0,-15.04,3.4
2023,1,6,18,-999.0,0.0,0.0,0.0,-15.86,3.76
2023,1,6,19,-999.0,0.0,0.0,0.0,-16.33,3.86
2023,1,6,20,-999.0,0.0,0.0,0.0,-16.89,3.89
2023,1,6,21,-999.0,0.0,0.0,0.0,-17.39,3.9
2023,1,6,22,-999.0,0.0,0.0,0.0,-17.89,3.97
2023,1,6,23,-999.0,0.0,0.0,0.0,-18.28,3.87
2023,1,7,0,-999.0,0.0,0.0,0.0,-18.3,3.81
2023,1,7,1,-999.0,0.0,0.0,0.0,-18.51,3.92
2023,1,7,2,-999.0,0.0,0.0,0.0,-18.69,3.88
2023,1,7,3,-999.0,0.0,0.0,0.0,-18.98,3.76
2023,1,7,4,-999.0,0.0,0.0,0.0,-19.24,3.69
2023,1,7,5,-999.0,0.0,0.0,0.0,-19.55,3.58
2023,1,7,6,-999.0,0.0,0.0,0.0,-19.65,3.32
2023,1,7,7,-999.0,0.0,0.0,0.0,-19.44,3.15
2023,1,7,8,0.14,44.45,347.58,85.7,-18.3,2.91
2023,1,7,9,0.1,96.37,435.2,184.85,-16.02,2.18
2023,1,7,10,0.18,69.54,765.06,291.6,-13.53,1.34
2023,1,7,11,0.18,94.15,753.02,341.85,-12.23,0.56
2023,1,7,12,0.13,84.4,772.27,333.98,-11.4,0.04
2023,1,7,13,0.12,78.6,650.92,266.8,-11.12,0.23
2023,1,7,14,0.12,80.63,441.18,164.57,-11.28,0.32
2023,1,7,15,0.15,26.13,275.87,52.75,-11.99,0.75
2023,1,7,16,-999.0,0.0,0.0,0.0,-12.78,1.15
2023,1,7,17,-999.0,0.0,0.0,0.0,-13.31,1.5
2023,1,7,18,-999.0,0.0,0.0,0.0,-13.73,1.8
2023,1,7,19,-999.0,0.0,0.0,0.0,-14.17,1.99
2023,1,7,20,-999.0,0.0,0.0,0.0,-14.62,2.09
2023,1,7,21,-999.0,0.0,0.0,0.0,-15.12,2.14
2023,1,7,22,-999.0,0.0,0.0,0.0,-15.39,2.25
2023,1,7,23,-999.0,0.0,0.0,0.0,-15.6,2.44
2023,1,8,0,-999.0,0.0,0.0,0.0,-15.87,2.6
2023,1,8,1,-999.0,0.0,0.0,0.0,-16.37,2.68
2023,1,8,2,-999.0,0.0,0.0,0.0,-16.73,2.98
2023,1,8,3,-999.0,0.0,0.0,0.0,-17.17,3.26
2023,1,8,4,-999.0,0.0,0.0,0.0,-17.47,3.39
2023,1,8,5,-999.0,0.0,0.0,0.0,-17.59,3.46
2023,1,8,6,-999.0,0.0,0.0,0.0,-17.27,3.48
2023,1,8,7,-999.0,0.0,0.0,0.0,-16.99,3.29
2023,1,8,8,0.15,31.85,414.12,95.65,-15.96,3.06
2023,1,8,9,0.14,68.05,638.29,215.15,-13.74,2.8
2023,1,8,10,0.1,62.08,811.37,305.58,-11.77,2.28
2023,1,8,11,0.18,56.17,901.74,362.3,-10.17,1.99
2023,1,8,12,0.17,60.12,877.6,350.33,-9.02,2.1
2023,1,8,13,0.13,99.26,702.59,278.17,-8.67,2.22
2023,1,8,14,0.13,109.16,375.7,163.0,-8.98,2.12
2023,1,8,15,0.12,39.43,121.29,45.12,-10.5,2.49
2023,1,8,16,-999.0,0.0,0.0,0.0,-12.69,3.1
2023,1,8,17,-999.0,0.0,0.0,0.0,-14.05,3.42
2023,1,8,18,-999.0,0.0,0.0,0.0,-14.84,3.57
2023,1,8,19,-999.0,0.0,0.0,0.0,-15.17,3.52
2023,1,8,20,-999.0,0.0,0.0,0.0,-15.43,3.39
2023,1,8,21,-999.0,0.0,0.0,0.0,-15.6,3.27
2023,1,8,22,-999.0,0.0,0.0,0.0,-15.59,3.1
2023,1,8,23,-999.0,0.0,0.0,0.0,-15.42,2.94
2023,1,9,0,-999.0,0.0,0.0,0.0,-15.39,3.02
2023,1,9,1,-999.0,0.0,0.0,0.0,-15.59,3.06
2023,1,9,2,-999.0,0.0,0.0,0.0,-15.9,3.05
2023,1,9,3,-999.0,0.0,0.0,0.0,-16.26,3.09
2023,1,9,4,-999.0,0.0,0.0,0.0,-16.63,3.12
2023,1,9,5,-999.0,0.0,0.0,0.0,-16.86,3.14
2023,1,9,6,-999.0,0.0,0.0,0.0,-16.79,3.13
2023,1,9,7,-999.0,0.0,0.0,0.0,-16.48,3.04
2023,1,9,8,0.12,69.22,66.98,74.82,-15.3,2.81
2023,1,9,9,0.12,115.48,22.16,115.1,-13.17,2.47
2023,1,9,10,0.12,164.5,69.66,171.5,-11.62,2.09
2023,1,9,11,0.12,201.4,9.91,212.35,-10.51,1.92
2023,1,9,12,0.14,165.91,146.46,215.05,-9.93,1.88
2023,1,9,13,0.13,166.33,56.72,170.23,-9.84,1.86
2023,1,9,14,0.12,103.6,82.63,102.53,-10.01,1.8
2023,1,9,15,0.13,35.08,45.34,36.85,-10.77,1.86
2023,1,9,16,-999.0,0.0,0.0,0.0,-11.87,2.32
2023,1,9,17,-999.0,0.0,0.0,0.0,-12.68,2.62
2023,1,9,18,-999.0,0.0,0.0,0.0,-13.29,2.86
2023,1,9,19,-999.0,0.0,0.0,0.0,-13.84,3.1
2023,1,9,20,-999.0,0.0,0.0,0.0,-14.29,3.38
2023,1,9,21,-999.0,0.0,0.0,0.0,-14.52,3.86
2023,1,9,22,-999.0,0.0,0.0,0.0,-14.66,4.29
2023,1,9,23,-999.0,0.0,0.0,0.0,-14.99,4.43
2023,1,10,0,-999.0,0.0,0.0,0.0,-15.72,4.43
2023,1,10,1,-999.0,0.0,0.0,0.0,-16.54,4.53
2023,1,10,2,-999.0,0.0,0.0,0.0,-17.09,4.76
2023,1,10,3,-999.0,0.0,0.0,0.0,-17.54,4.81
